dept_co,dept_nombre,muni_co,muni_nombre,mesas_total,mesas_escrutadas,pct_mesas_escrutadas,total_votantes,pct_participacion,total_abstencion,votos_nulos,votos_no_marcados,votos_blancos,votos_validos,codcan,codpar,candidato_presidente,candidato_vicepresidente,votos_candidato,pct_votos_candidato
15,CUNDINAMARCA,15004,AGUA DE DIOS,28,28,100.0,5940,60.24,3919,82,11,97,5847,3,8,RAÚL SANTIAGO BOTERO JARAMILLO,CARLOS FERNANDO CUEVAS ROMERO,62,1.06
15,CUNDINAMARCA,15004,AGUA DE DIOS,28,28,100.0,5940,60.24,3919,82,11,97,5847,5,14,ÓSCAR MAURICIO LIZCANO ARANGO,PEDRO LUIS DE LA TORRE MARQUEZ,12,0.2
15,CUNDINAMARCA,15004,AGUA DE DIOS,28,28,100.0,5940,60.24,3919,82,11,97,5847,6,4,MIGUEL URIBE LONDOÑO,LUISA FERNANDA VILLEGAS ARAQUE,7,0.11
15,CUNDINAMARCA,15004,AGUA DE DIOS,28,28,100.0,5940,60.24,3919,82,11,97,5847,7,9,SONDRA MACOLLINS GARVIN PINTO,LEONARDO KARAM HELO,6,0.1
15,CUNDINAMARCA,15004,AGUA DE DIOS,28,28,100.0,5940,60.24,3919,82,11,97,5847,9,13,CARLOS EDUARDO CAICEDO OMAR,NELSON JAVIER ALARCÓN SUÁREZ,3,0.05
15,CUNDINAMARCA,15004,AGUA DE DIOS,28,28,100.0,5940,60.24,3919,82,11,97,5847,8,6,ROY LEONARDO BARRERAS MONTEALEGRE,MARTHA LUCÍA ZAMORA ÁVILA,2,0.03
15,CUNDINAMARCA,15004,AGUA DE DIOS,28,28,100.0,5940,60.24,3919,82,11,97,5847,13,12,LUIS GILBERTO MURILLO URRUTIA,LUZ MARÍA ZAPATA ZAPATA,2,0.03
15,CUNDINAMARCA,15004,AGUA DE DIOS,28,28,100.0,5940,60.24,3919,82,11,97,5847,10,5,GUSTAVO MATAMOROS CAMACHO,MILA MARÍA PAZ CAMPAZ,1,0.01
12,CESAR,12075,AGUACHICA,237,237,100.0,46530,59.87,31186,621,79,732,45830,4,10,ABELARDO DE LA ESPRIELLA,JOSÉ MANUEL RESTREPO ABONDANO,27327,59.62
12,CESAR,12075,AGUACHICA,237,237,100.0,46530,59.87,31186,621,79,732,45830,1,7,IVÁN CEPEDA CASTRO,AIDA MARINA QUILCUE VIVAS,14388,31.39
12,CESAR,12075,AGUACHICA,237,237,100.0,46530,59.87,31186,621,79,732,45830,11,2,PALOMA VALENCIA LASERNA,JUAN DANIEL OVIEDO ARANGO,1461,3.18
12,CESAR,12075,AGUACHICA,237,237,100.0,46530,59.87,31186,621,79,732,45830,12,3,SERGIO FAJARDO VALDERRAMA,EDNA CRISTINA DEL SOCORRO BONILLA SEBA,1074,2.34
12,CESAR,12075,AGUACHICA,237,237,100.0,46530,59.87,31186,621,79,732,45830,3,8,RAÚL SANTIAGO BOTERO JARAMILLO,CARLOS FERNANDO CUEVAS ROMERO,555,1.21
12,CESAR,12075,AGUACHICA,237,237,100.0,46530,59.87,31186,621,79,732,45830,2,11,CLAUDIA LÓPEZ,LEONARDO HUMBERTO HUERTA GUTIÉRREZ,84,0.18
12,CESAR,12075,AGUACHICA,237,237,100.0,46530,59.87,31186,621,79,732,45830,5,14,ÓSCAR MAURICIO LIZCANO ARANGO,PEDRO LUIS DE LA TORRE MARQUEZ,71,0.15
12,CESAR,12075,AGUACHICA,237,237,100.0,46530,59.87,31186,621,79,732,45830,6,4,MIGUEL URIBE LONDOÑO,LUISA FERNANDA VILLEGAS ARAQUE,52,0.11
12,CESAR,12075,AGUACHICA,237,237,100.0,46530,59.87,31186,621,79,732,45830,7,9,SONDRA MACOLLINS GARVIN PINTO,LEONARDO KARAM HELO,30,0.06
